2021-09-15 20:22:37,674 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631719357.6253963, 'account_name': 'Guest', 'mess_text': 'Прием'} 
2021-09-15 20:22:37,675 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631719357.6253963, 'account_name': 'Guest', 'mess_text': 'Прием'}, [('Guest', 'Прием')], <socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 55887)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:22:48,415 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631719368.0440063, 'account_name': 'Guest', 'mess_text': 'Проверка связи'} 
2021-09-15 20:22:48,416 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631719368.0440063, 'account_name': 'Guest', 'mess_text': 'Проверка связи'}, [('Guest', 'Проверка связи')], <socket.socket fd=428, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 55887)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:30:53,464 - DEBUG    - server.py - Вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:30:53,464 - INFO     - server.py - Запущен сервер, порт для подключений: 7778, адрес с которого принимаются подключения: . 
2021-09-15 20:30:53,510 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 61889) 
2021-09-15 20:30:53,510 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 61890) 
2021-09-15 20:30:53,510 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631719853.4953692, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:30:53,510 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631719853.4953692, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61889)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:30:53,526 - INFO     - server.py - Установлено соедение с ПК ('127.0.0.1', 61891) 
2021-09-15 20:30:53,526 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631719853.5109913, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:30:53,526 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631719853.5109913, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=488, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61890)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:30:54,027 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'presence', 'time': 1631719853.5266123, 'user': {'account_name': 'Guest'}} 
2021-09-15 20:30:54,027 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'presence', 'time': 1631719853.5266123, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61891)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:31:04,562 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631719864.3932722, 'account_name': 'Guest', 'mess_text': 'Ку'} 
2021-09-15 20:31:04,562 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631719864.3932722, 'account_name': 'Guest', 'mess_text': 'Ку'}, [('Guest', 'Ку')], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61889)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:31:07,572 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631719867.3195925, 'account_name': 'Guest', 'mess_text': 'Ку ку'} 
2021-09-15 20:31:07,573 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631719867.3195925, 'account_name': 'Guest', 'mess_text': 'Ку ку'}, [('Guest', 'Ку ку')], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61889)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
2021-09-15 20:31:13,121 - DEBUG    - server.py - Разбор сообщения от клиента : {'action': 'message', 'time': 1631719872.821123, 'account_name': 'Guest', 'mess_text': 'Ку кареку'} 
2021-09-15 20:31:13,121 - DEBUG    - server.py - Вызвана функция process_client_msg c параметрами ({'action': 'message', 'time': 1631719872.821123, 'account_name': 'Guest', 'mess_text': 'Ку кареку'}, [('Guest', 'Ку кареку')], <socket.socket fd=468, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7778), raddr=('127.0.0.1', 61889)>), {}. Вызов из модуля __main__. Ver.1.Вызов из функции main().Ver.2.Вызов из функции main. 
